timestamp,VWC,temp_soil,temp_room,VWC_discrete,VWC_discrete_predict
2017/10/28 00:00,0.266,22.3,20.7,0.275,0.325
2017/10/28 00:05,0.266,22.3,20.65,0.275,0.325
2017/10/28 00:10,0.266,22.3,20.65,0.275,0.325
2017/10/28 00:15,0.266,22.2,20.67,0.275,0.325
2017/10/28 00:20,0.266,22.2,20.67,0.275,0.325
2017/10/28 00:25,0.266,22.2,20.67,0.275,0.325
2017/10/28 00:30,0.266,22.2,20.72,0.275,0.325
2017/10/28 00:35,0.266,22.2,20.74,0.275,0.325
2017/10/28 00:40,0.266,22.2,20.77,0.275,0.325
2017/10/28 00:45,0.266,22.1,20.77,0.275,0.325
2017/10/28 00:50,0.267,22.2,20.72,0.275,0.325
2017/10/28 00:55,0.266,22.1,20.7,0.275,0.325
2017/10/28 01:00,0.266,22.1,20.67,0.275,0.325
2017/10/28 01:05,0.267,22.1,20.7,0.275,0.325
2017/10/28 01:10,0.266,22.1,20.67,0.275,0.325
2017/10/28 01:15,0.266,22.1,20.65,0.275,0.325
2017/10/28 01:20,0.266,22.1,20.65,0.275,0.325
2017/10/28 01:25,0.266,22.1,20.65,0.275,0.325
2017/10/28 01:30,0.266,22.1,20.65,0.275,0.325
2017/10/28 01:35,0.266,22.1,20.67,0.275,0.325
2017/10/28 01:40,0.266,22.1,20.7,0.275,0.325
2017/10/28 01:45,0.266,22.1,20.72,0.275,0.325
2017/10/28 01:50,0.266,22.1,20.74,0.275,0.325
2017/10/28 01:55,0.266,22,20.77,0.275,0.325
2017/10/28 02:00,0.266,22,20.77,0.275,0.325
2017/10/28 02:05,0.266,22,20.77,0.275,0.325
2017/10/28 02:10,0.266,22,20.77,0.275,0.325
2017/10/28 02:15,0.266,22,20.77,0.275,0.325
2017/10/28 02:20,0.266,22,20.79,0.275,0.325
2017/10/28 02:25,0.266,22,20.82,0.275,0.175
2017/10/28 02:30,0.266,22,20.79,0.275,0.325
2017/10/28 02:35,0.266,21.9,20.79,0.275,0.325
2017/10/28 02:40,0.266,21.9,20.79,0.275,0.325
2017/10/28 02:45,0.266,21.9,20.77,0.275,0.325
2017/10/28 02:50,0.266,21.9,20.72,0.275,0.325
2017/10/28 02:55,0.266,21.9,20.72,0.275,0.325
2017/10/28 03:00,0.266,21.9,20.72,0.275,0.325
2017/10/28 03:05,0.266,21.9,20.7,0.275,0.325
2017/10/28 03:10,0.266,21.9,20.7,0.275,0.325
2017/10/28 03:15,0.266,21.9,20.7,0.275,0.325
