timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 00:30,0.372,21.9,20.89,21.9,21.9,21.9,22,22,22,21.8955
2017/11/22 00:35,0.373,21.9,20.89,21.9,21.9,21.9,21.9,22,22,21.8955
2017/11/22 00:40,0.372,21.9,20.89,21.9,21.9,21.9,21.9,21.9,22,21.8955
2017/11/22 00:45,0.372,21.9,20.91,21.9,21.9,21.9,21.9,21.9,21.9,21.8959
2017/11/22 00:50,0.372,21.9,20.98,21.9,21.9,21.9,21.9,21.9,21.9,21.897
2017/11/22 00:55,0.372,21.9,21.03,21.9,21.9,21.9,21.9,21.9,21.9,21.8978
2017/11/22 01:00,0.372,21.9,21.08,21.9,21.9,21.9,21.9,21.9,21.9,21.8986
2017/11/22 01:05,0.372,21.9,21.08,21.9,21.9,21.9,21.9,21.9,21.9,21.8986
2017/11/22 01:10,0.372,21.9,21.08,21.9,21.9,21.9,21.9,21.9,21.9,21.8986
2017/11/22 01:15,0.372,21.9,21.05,21.9,21.9,21.9,21.9,21.9,21.9,21.8981
2017/11/22 01:20,0.372,21.9,21.08,21.9,21.9,21.9,21.9,21.9,21.9,21.8986
2017/11/22 01:25,0.372,21.9,21.1,21.9,21.9,21.9,21.9,21.9,21.9,21.8989
2017/11/22 01:30,0.372,21.9,21.15,21.9,21.9,21.9,21.9,21.9,21.9,21.8997
2017/11/22 01:35,0.372,21.9,21.17,21.9,21.9,21.9,21.9,21.9,21.9,21.9
2017/11/22 01:40,0.372,21.9,21.2,21.9,21.9,21.9,21.9,21.9,21.9,21.9005
2017/11/22 01:45,0.372,21.9,21.22,21.9,21.9,21.9,21.9,21.9,21.9,21.9008
2017/11/22 01:50,0.372,21.9,21.22,21.9,21.9,21.9,21.9,21.9,21.9,21.9008
2017/11/22 01:55,0.372,21.9,21.25,21.9,21.9,21.9,21.9,21.9,21.9,21.9013
2017/11/22 02:00,0.372,21.9,21.27,21.9,21.9,21.9,21.9,21.9,21.9,21.9016
2017/11/22 02:05,0.372,21.9,21.27,21.9,21.9,21.9,21.9,21.9,21.9,21.9016
2017/11/22 02:10,0.372,21.9,21.29,21.9,21.9,21.9,21.9,21.9,21.9,21.9019
2017/11/22 02:15,0.372,21.9,21.32,21.9,21.9,21.9,21.9,21.9,21.9,21.9024
2017/11/22 02:20,0.372,21.9,21.34,21.9,21.9,21.9,21.9,21.9,21.9,21.9027
2017/11/22 02:25,0.372,21.9,21.34,21.9,21.9,21.9,21.9,21.9,21.9,21.9027
2017/11/22 02:30,0.372,21.9,21.32,21.9,21.9,21.9,21.9,21.9,21.9,21.9024
2017/11/22 02:35,0.372,21.9,21.32,21.9,21.9,21.9,21.9,21.9,21.9,21.9024
2017/11/22 02:40,0.372,21.9,21.32,21.9,21.9,21.9,21.9,21.9,21.9,21.9024
2017/11/22 02:45,0.372,21.8,21.32,21.9,21.9,21.9,21.9,21.9,21.9,21.9024
2017/11/22 02:50,0.372,21.9,21.32,21.8,21.9,21.9,21.9,21.9,21.9,21.8041
2017/11/22 02:55,0.372,21.9,21.34,21.9,21.8,21.9,21.9,21.9,21.9,21.9027
2017/11/22 03:00,0.372,21.9,21.34,21.9,21.9,21.8,21.9,21.9,21.9,21.9027
2017/11/22 03:05,0.372,21.9,21.34,21.9,21.9,21.9,21.8,21.9,21.9,21.9027
2017/11/22 03:10,0.372,21.9,21.36,21.9,21.9,21.9,21.9,21.8,21.9,21.903
2017/11/22 03:15,0.372,21.9,21.36,21.9,21.9,21.9,21.9,21.9,21.8,21.903
2017/11/22 03:20,0.372,21.9,21.36,21.9,21.9,21.9,21.9,21.9,21.9,21.903
2017/11/22 03:25,0.372,21.8,21.36,21.9,21.9,21.9,21.9,21.9,21.9,21.903
2017/11/22 03:30,0.372,21.8,21.39,21.8,21.9,21.9,21.9,21.9,21.9,21.8052
2017/11/22 03:35,0.372,21.9,21.39,21.8,21.8,21.9,21.9,21.9,21.9,21.8052
2017/11/22 03:40,0.372,21.9,21.39,21.9,21.8,21.8,21.9,21.9,21.9,21.9035
2017/11/22 03:45,0.372,21.8,21.36,21.9,21.9,21.8,21.8,21.9,21.9,21.903
2017/11/22 03:50,0.372,21.8,21.34,21.8,21.9,21.9,21.8,21.8,21.9,21.8044
2017/11/22 03:55,0.372,21.8,21.34,21.8,21.8,21.9,21.9,21.8,21.8,21.8044
2017/11/22 04:00,0.372,21.8,21.32,21.8,21.8,21.8,21.9,21.9,21.8,21.8041
2017/11/22 04:05,0.372,21.8,21.29,21.8,21.8,21.8,21.8,21.9,21.9,21.8036
2017/11/22 04:10,0.372,21.8,21.27,21.8,21.8,21.8,21.8,21.8,21.9,21.8033
