timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 05:30,0.371,21.7,20.77,21.7,21.7,21.7,21.7,21.7,21.7,21.6977
2017/11/22 05:35,0.371,21.7,20.72,21.7,21.7,21.7,21.7,21.7,21.7,21.697
2017/11/22 05:40,0.371,21.7,20.7,21.7,21.7,21.7,21.7,21.7,21.7,21.6968
2017/11/22 05:45,0.371,21.7,20.67,21.7,21.7,21.7,21.7,21.7,21.7,21.6964
2017/11/22 05:50,0.371,21.7,20.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6959
2017/11/22 05:55,0.371,21.7,20.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6959
2017/11/22 06:00,0.371,21.7,20.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6959
2017/11/22 06:05,0.371,21.7,20.6,21.7,21.7,21.7,21.7,21.7,21.7,21.6955
2017/11/22 06:10,0.371,21.7,20.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6959
2017/11/22 06:15,0.371,21.7,20.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6959
2017/11/22 06:20,0.371,21.7,20.63,21.7,21.7,21.7,21.7,21.7,21.7,21.6959
2017/11/22 06:25,0.371,21.7,20.6,21.7,21.7,21.7,21.7,21.7,21.7,21.6955
2017/11/22 06:30,0.371,21.6,20.58,21.7,21.7,21.7,21.7,21.7,21.7,21.6952
2017/11/22 06:35,0.371,21.7,20.58,21.6,21.7,21.7,21.7,21.7,21.7,21.5919
2017/11/22 06:40,0.371,21.6,20.58,21.7,21.6,21.7,21.7,21.7,21.7,21.6959
2017/11/22 06:45,0.371,21.6,20.55,21.6,21.7,21.6,21.7,21.7,21.7,21.5919
2017/11/22 06:50,0.371,21.6,20.55,21.6,21.6,21.7,21.6,21.7,21.7,21.5906
2017/11/22 06:55,0.371,21.6,20.53,21.6,21.6,21.6,21.7,21.6,21.7,21.5948
2017/11/22 07:00,0.371,21.6,20.53,21.6,21.6,21.6,21.6,21.7,21.6,21.5935
2017/11/22 07:05,0.371,21.6,20.53,21.6,21.6,21.6,21.6,21.6,21.7,21.5932
2017/11/22 07:10,0.371,21.6,20.53,21.6,21.6,21.6,21.6,21.6,21.6,21.5959
2017/11/22 07:15,0.371,21.6,20.55,21.6,21.6,21.6,21.6,21.6,21.6,21.5962
2017/11/22 07:20,0.371,21.6,20.55,21.6,21.6,21.6,21.6,21.6,21.6,21.5962
2017/11/22 07:25,0.37,21.6,20.58,21.6,21.6,21.6,21.6,21.6,21.6,21.5966
2017/11/22 07:30,0.37,21.6,20.63,21.6,21.6,21.6,21.6,21.6,21.6,21.5972
